Student_ID,Interests,Strengths,Skills,Marks,Personality,Goals,Budget,Suggested_Career,Recommended_Course,Scholarship_Option
1,Maths,Communication,Java,97,Introvert,Start a business,High,Software Engineer,Business Management,National Merit Scholarship
2,Arts,Analysis,Biology,79,Extrovert,Develop new skills,High,Doctor,Graphic Design,National Merit Scholarship
3,Science,Problem Solving,Drawing,88,Extrovert,Higher studies,Medium,Data Analyst,Data Science Intro,Need-based Aid
4,Arts,Analysis,Physics,54,Introvert,Develop new skills,High,Entrepreneur,Biology 101,STEM Scholarship
5,Science,Communication,Public Speaking,94,Extrovert,Get a good job,High,Data Analyst,Business Management,Need-based Aid
6,Business,Leadership,Python,87,Ambivert,Get a good job,Medium,Doctor,Data Science Intro,National Merit Scholarship
7,Medicine,Analysis,Statistics,65,Ambivert,Get a good job,Low,Data Analyst,Python Basics,Need-based Aid
8,Science,Problem Solving,Statistics,88,Introvert,Higher studies,Low,Doctor,Biology 101,National Merit Scholarship
9,Arts,Problem Solving,Java,69,Introvert,Get a good job,Medium,Teacher,Graphic Design,Need-based Aid
10,Maths,Leadership,Drawing,100,Extrovert,Get a good job,Medium,Data Analyst,Graphic Design,National Merit Scholarship
11,Sports,Leadership,Public Speaking,100,Introvert,Develop new skills,High,Entrepreneur,Business Management,Arts Talent Scholarship
12,Technology,Communication,Python,50,Ambivert,Develop new skills,Medium,Teacher,Graphic Design,Need-based Aid
13,Technology,Analysis,Physics,93,Extrovert,Develop new skills,High,Teacher,Python Basics,National Merit Scholarship
14,Business,Analysis,Python,60,Introvert,Get a good job,Medium,Teacher,Math Foundations,Need-based Aid
15,Arts,Problem Solving,Public Speaking,95,Introvert,Start a business,Low,Designer,Graphic Design,National Merit Scholarship
16,Science,Communication,Biology,52,Ambivert,Start a business,Medium,Software Engineer,Data Science Intro,STEM Scholarship
17,Business,Analysis,Physics,60,Extrovert,Develop new skills,Medium,Designer,Biology 101,Need-based Aid
18,Science,Problem Solving,Python,52,Extrovert,Start a business,Medium,Entrepreneur,Graphic Design,Arts Talent Scholarship
19,Sports,Analysis,Marketing,55,Introvert,Develop new skills,Low,Software Engineer,Python Basics,National Merit Scholarship
20,Business,Logical Thinking,Statistics,99,Introvert,Start a business,Low,Designer,Business Management,Arts Talent Scholarship
21,Technology,Analysis,Marketing,57,Extrovert,Develop new skills,High,Designer,Python Basics,National Merit Scholarship
22,Medicine,Logical Thinking,Python,80,Ambivert,Start a business,High,Teacher,Business Management,National Merit Scholarship
23,Medicine,Communication,Python,63,Introvert,Get a good job,Low,Mechanical Engineer,Business Management,Need-based Aid
24,Sports,Analysis,Drawing,50,Introvert,Get a good job,Medium,Software Engineer,Graphic Design,Need-based Aid
25,Arts,Logical Thinking,Public Speaking,56,Ambivert,Get a good job,Low,Mechanical Engineer,Data Science Intro,Need-based Aid
